TYPE;FULLCODE;STATE;COUNTY;TRACT;SHEETS
TRACT;09005250100;09;005;2501.00;1
TRACT;09005253100;09;005;2531.00;1
TRACT;09005253200;09;005;2532.00;1
TRACT;09005253400;09;005;2534.00;1
TRACT;09005253500;09;005;2535.00;1
TRACT;09005260200;09;005;2602.00;1
TRACT;09005261100;09;005;2611.00;1
TRACT;09005262100;09;005;2621.00;1
TRACT;09005263200;09;005;2632.00;1
TRACT;09005265100;09;005;2651.00;1
TRACT;09005266100;09;005;2661.00;1
TRACT;09005267100;09;005;2671.00;1
TRACT;09005268100;09;005;2681.00;1
TRACT;09005290100;09;005;2901.00;1
TRACT;09005293100;09;005;2931.00;1
TRACT;09005296100;09;005;2961.00;1
TRACT;09005298300;09;005;2983.00;1
TRACT;09005298400;09;005;2984.00;1
TRACT;09005300100;09;005;3001.00;1
TRACT;09005300400;09;005;3004.00;1
TRACT;09005300500;09;005;3005.00;1
TRACT;09005303100;09;005;3031.00;1
TRACT;09005306100;09;005;3061.00;1
TRACT;09005310100;09;005;3101.00;1
TRACT;09005310200;09;005;3102.00;1
TRACT;09005310300;09;005;3103.00;1
TRACT;09005310400;09;005;3104.00;1
TRACT;09005310500;09;005;3105.00;1
TRACT;09005310601;09;005;3106.01;1
TRACT;09005310602;09;005;3106.02;1
TRACT;09005310700;09;005;3107.00;1
TRACT;09005310801;09;005;3108.01;1
TRACT;09005310803;09;005;3108.03;1
TRACT;09005310804;09;005;3108.04;1
TRACT;09005320101;09;005;3201.01;1
TRACT;09005320102;09;005;3201.02;1
TRACT;09005320200;09;005;3202.00;1
TRACT;09005342100;09;005;3421.00;1
TRACT;09005349100;09;005;3491.00;1
TRACT;09005349200;09;005;3492.00;1
TRACT;09005360100;09;005;3601.00;1
TRACT;09005360200;09;005;3602.00;1
TRACT;09005360300;09;005;3603.00;1
TRACT;09005360400;09;005;3604.00;1
TRACT;09005362101;09;005;3621.01;1
TRACT;09005362102;09;005;3621.02;1
TRACT;09005425300;09;005;4253.00;1
TRACT;09005425400;09;005;4254.00;1
TRACT;09005425500;09;005;4255.00;1
TRACT;09005425601;09;005;4256.01;1
TRACT;09005425602;09;005;4256.02;1
TRACT;09005425700;09;005;4257.00;1
