TYPE;FULLCODE;STATE;COUNTY;TRACT;SHEETS
TRACT;09015800300;09;015;8003.00;1
TRACT;09015800400;09;015;8004.00;1
TRACT;09015800501;09;015;8005.01;1
TRACT;09015800502;09;015;8005.02;1
TRACT;09015800600;09;015;8006.00;1
TRACT;09015800700;09;015;8007.00;1
TRACT;09015815000;09;015;8150.00;1
TRACT;09015820000;09;015;8200.00;1
TRACT;09015825000;09;015;8250.00;1
TRACT;09015830100;09;015;8301.00;1
TRACT;09015900100;09;015;9001.00;1
TRACT;09015900200;09;015;9002.00;1
TRACT;09015901101;09;015;9011.01;1
TRACT;09015901102;09;015;9011.02;1
TRACT;09015902200;09;015;9022.00;1
TRACT;09015902500;09;015;9025.00;1
TRACT;09015903101;09;015;9031.01;1
TRACT;09015903102;09;015;9031.02;1
TRACT;09015903200;09;015;9032.00;1
TRACT;09015904101;09;015;9041.01;1
TRACT;09015904102;09;015;9041.02;1
TRACT;09015904400;09;015;9044.00;1
TRACT;09015904500;09;015;9045.00;1
TRACT;09015905101;09;015;9051.01;1
TRACT;09015905102;09;015;9051.02;1
TRACT;09015906100;09;015;9061.00;1
TRACT;09015907100;09;015;9071.00;1
TRACT;09015907200;09;015;9072.00;1
TRACT;09015907300;09;015;9073.00;1
TRACT;09015908100;09;015;9081.00;1
